HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457085.16285,2015-03-03.6657931,bb,2.32,99.990,99.990,99.990,99.990,99.990,V
2457107.13124,2015-03-25.6338846,bb,1.64,16.910,>16.910,99.990,0.097,0.132,V
2457109.12620,2015-03-27.6287511,bb,1.68,16.967,>16.967,99.990,0.367,0.125,V
2457109.12792,2015-03-27.6304815,bb,1.69,16.861,>16.861,99.990,0.403,0.138,V
2457110.12885,2015-03-28.6313585,bb,1.70,17.076,>17.076,99.990,0.396,0.113,V
2457110.13045,2015-03-28.6329668,bb,1.71,17.079,>17.079,99.990,0.034,0.113,V
2457111.11947,2015-03-29.6219400,bb,1.71,17.173,>17.173,99.990,0.224,0.104,V
2457111.12104,2015-03-29.6235047,bb,1.79,17.085,>17.085,99.990,0.162,0.112,V
2457114.12008,2015-04-01.6224031,bb,2.16,16.896,>16.896,99.990,-0.172,0.134,V
2457114.12167,2015-04-01.6239920,bb,2.20,17.050,>17.050,99.990,0.233,0.116,V
2457115.11063,2015-04-02.6129009,bb,2.14,16.268,>16.268,99.990,0.082,0.239,V
2457115.11219,2015-04-02.6144579,bb,2.13,16.459,>16.459,99.990,0.448,0.200,V
2457117.09856,2015-04-04.6007429,bb,1.88,99.990,99.990,99.990,99.990,99.990,V
2457119.09323,2015-04-06.5953144,bb,2.02,16.271,>16.271,99.990,0.013,0.238,V
2457119.09476,2015-04-06.5968462,bb,2.03,16.303,>16.303,99.990,0.515,0.231,V
2457133.09901,2015-04-20.6003297,bb,1.76,16.905,>16.905,99.990,0.368,0.133,V
2457133.10054,2015-04-20.6018631,bb,1.66,16.874,>16.874,99.990,0.294,0.137,V
2457135.11292,2015-04-22.6141226,bb,2.00,16.869,>16.869,99.990,0.412,0.137,V
2457135.11447,2015-04-22.6156780,bb,2.09,17.166,>17.166,99.990,0.138,0.104,V
2457136.06117,2015-04-23.5623174,bb,1.67,17.144,>17.144,99.990,0.182,0.106,V
2457136.06274,2015-04-23.5638954,bb,1.67,17.102,>17.102,99.990,0.096,0.111,V
2457137.06662,2015-04-24.5677077,bb,1.65,17.075,>17.075,99.990,0.445,0.113,V
2457137.06817,2015-04-24.5692651,bb,1.67,17.100,>17.100,99.990,0.124,0.111,V
2457138.09878,2015-04-25.5998112,bb,2.00,16.997,>16.997,99.990,0.471,0.122,V
2457150.08390,2015-05-07.5841855,bb,1.70,16.574,>16.574,99.990,0.722,0.180,V
2457150.08553,2015-05-07.5858255,bb,1.72,16.529,>16.529,99.990,0.170,0.188,V
2457156.00644,2015-05-13.5063642,bb,2.12,16.997,>16.997,99.990,0.438,0.122,V
2457156.00805,2015-05-13.5079743,bb,2.11,17.123,>17.123,99.990,0.304,0.109,V
2457163.05375,2015-05-20.5532479,bb,1.74,17.214,>17.214,99.990,0.408,0.100,V
2457163.05532,2015-05-20.5548266,bb,1.72,17.210,>17.210,99.990,0.375,0.100,V
2457171.95291,2015-05-29.4518775,bb,1.67,16.483,>16.483,99.990,0.226,0.196,V
2457171.95451,2015-05-29.4534755,bb,1.69,16.415,>16.415,99.990,0.030,0.208,V
2457171.99716,2015-05-29.4961281,bb,1.68,16.533,>16.533,99.990,0.087,0.187,V
2457171.99880,2015-05-29.4977553,bb,1.71,16.659,>16.659,99.990,0.050,0.166,V
2457180.03010,2015-06-06.5286004,bb,1.70,16.450,>16.450,99.990,0.535,0.202,V
2457180.03193,2015-06-06.5304288,bb,1.68,16.365,>16.365,99.990,-0.162,0.218,V
2457183.03343,2015-06-09.5317659,bb,1.74,16.736,>16.736,99.990,-0.003,0.155,V
2457183.03491,2015-06-09.5332506,bb,1.75,16.949,>16.949,99.990,0.032,0.127,V
2457184.96587,2015-06-11.4641035,bb,1.65,17.201,>17.201,99.990,0.292,0.101,V
2457184.96743,2015-06-11.4656672,bb,1.76,17.018,>17.018,99.990,0.234,0.120,V
2457191.01239,2015-06-17.5103256,bb,2.15,16.508,15.654,0.100,2.101,0.192,V
2457191.01389,2015-06-17.5118196,bb,2.15,16.392,15.333,0.083,2.822,0.213,V
2457192.03435,2015-06-18.5322039,bb,1.64,16.510,13.959,0.021,10.009,0.193,V
2457192.03640,2015-06-18.5342510,bb,1.68,16.493,13.813,0.018,11.445,0.196,V
2457196.02291,2015-06-22.5205824,bb,2.16,15.663,11.846,0.007,70.033,0.472,V
2457196.02445,2015-06-22.5221137,bb,2.13,15.681,11.891,0.008,67.220,0.462,V
2457200.86969,2015-06-27.3671413,bb,1.70,16.596,>16.596,99.990,0.668,0.176,V
2457200.87123,2015-06-27.3686797,bb,1.64,16.599,>16.599,99.990,0.866,0.176,V
2457201.07818,2015-06-27.5756233,bb,1.69,17.234,16.144,0.080,1.338,0.098,V
2457201.07975,2015-06-27.5771946,bb,1.77,17.088,16.754,0.161,0.763,0.112,V
2457201.86640,2015-06-28.3638212,bb,2.03,16.477,>16.477,99.990,0.223,0.197,V
2457201.86796,2015-06-28.3653748,bb,2.02,16.509,>16.509,99.990,0.115,0.191,V
2457202.06539,2015-06-28.5627918,bb,2.11,17.098,>17.098,99.990,0.405,0.111,V
2457202.06693,2015-06-28.5643351,bb,2.12,17.144,>17.144,99.990,0.179,0.106,V
2457203.85281,2015-06-30.3501109,bb,2.09,16.197,>16.197,99.990,1.142,0.255,V
2457203.85437,2015-06-30.3516796,bb,2.09,16.135,>16.135,99.990,0.079,0.270,V
2457210.03571,2015-07-06.5327762,bb,1.70,16.636,>16.636,99.990,0.773,0.170,V
2457210.03746,2015-07-06.5345251,bb,1.73,16.715,>16.715,99.990,0.349,0.158,V
2457211.97654,2015-07-08.4735346,bb,2.33,16.830,>16.830,99.990,0.161,0.142,V
2457211.97811,2015-07-08.4750976,bb,2.33,16.814,>16.814,99.990,0.503,0.144,V
2457216.90805,2015-07-13.4048719,bb,2.08,17.015,>17.015,99.990,0.452,0.120,V
2457216.90959,2015-07-13.4064172,bb,2.06,17.177,>17.177,99.990,0.253,0.103,V
2457222.99065,2015-07-19.4873101,bb,1.69,17.243,>17.243,99.990,0.178,0.097,V
2457222.99220,2015-07-19.4888518,bb,1.65,17.183,>17.183,99.990,0.344,0.103,V
2457227.99682,2015-07-24.4933622,bb,1.84,17.194,>17.194,99.990,0.473,0.102,V
2457227.99824,2015-07-24.4947843,bb,1.70,17.256,>17.256,99.990,0.123,0.096,V
2457231.92483,2015-07-28.4212959,bb,1.75,16.504,>16.504,99.990,0.354,0.192,V
2457231.92625,2015-07-28.4227114,bb,1.62,16.614,>16.614,99.990,0.433,0.173,V
2457232.85745,2015-07-29.3538975,bb,1.75,15.896,>15.896,99.990,0.526,0.336,V
2457233.92255,2015-07-30.4189876,bb,2.10,16.292,>16.292,99.990,-0.100,0.233,V
2457233.92401,2015-07-30.4204415,bb,2.10,16.289,>16.289,99.990,-0.248,0.234,V
2457241.02687,2015-08-06.5232225,bb,1.66,16.763,>16.763,99.990,0.004,0.151,V
2457241.02826,2015-08-06.5246193,bb,1.66,16.844,>16.844,99.990,0.388,0.140,V
2457241.84241,2015-08-07.3387535,bb,2.29,16.946,>16.946,99.990,0.403,0.128,V
2457241.84378,2015-08-07.3401386,bb,2.29,17.069,>17.069,99.990,0.394,0.114,V
2457242.74764,2015-08-08.2439842,bb,2.21,16.338,>16.338,99.990,0.545,0.224,V
2457242.74910,2015-08-08.2454474,bb,2.16,16.420,>16.420,99.990,-0.095,0.207,V
2457244.01972,2015-08-09.5160604,bb,1.70,17.259,>17.259,99.990,0.392,0.096,V
2457244.02111,2015-08-09.5174511,bb,1.74,17.140,>17.140,99.990,0.478,0.107,V
2457244.98642,2015-08-10.4827554,bb,1.70,17.149,>17.149,99.990,0.174,0.106,V
2457244.98786,2015-08-10.4841903,bb,1.78,17.146,>17.146,99.990,0.244,0.106,V
2457245.74911,2015-08-11.2454409,bb,2.32,16.457,>16.457,99.990,0.230,0.201,V
2457245.75052,2015-08-11.2468468,bb,2.30,16.654,>16.654,99.990,0.196,0.167,V
2457247.00856,2015-08-12.5048965,bb,1.73,17.071,>17.071,99.990,0.313,0.114,V
2457247.01001,2015-08-12.5063401,bb,1.66,17.113,>17.113,99.990,0.403,0.110,V
2457251.93795,2015-08-17.4342873,bb,1.71,17.238,>17.238,99.990,0.045,0.098,V
2457251.93939,2015-08-17.4357204,bb,1.73,17.316,>17.316,99.990,0.237,0.091,V
2457263.91309,2015-08-29.4095479,bb,2.05,16.327,>16.327,99.990,0.627,0.226,V
2457263.91435,2015-08-29.4108063,bb,2.02,15.985,>15.985,99.990,0.636,0.310,V
2457263.91560,2015-08-29.4120549,bb,2.01,16.158,>16.158,99.990,0.292,0.264,V
2457273.94067,2015-09-08.4373414,bb,1.98,17.097,>17.097,99.990,0.346,0.111,V
2457273.94193,2015-09-08.4385969,bb,1.81,17.190,>17.190,99.990,0.249,0.102,V
2457273.94318,2015-09-08.4398531,bb,1.77,16.995,>16.995,99.990,0.189,0.122,V
2457274.93622,2015-09-09.4329140,bb,1.76,17.132,>17.132,99.990,0.245,0.108,V
2457274.93747,2015-09-09.4341701,bb,1.76,17.213,>17.213,99.990,0.332,0.100,V
2457274.93873,2015-09-09.4354256,bb,1.78,17.333,>17.333,99.990,0.218,0.090,V
2457290.84204,2015-09-25.3392866,bb,2.14,16.201,>16.201,99.990,-0.169,0.254,V
2457290.84329,2015-09-25.3405392,bb,2.12,15.946,>15.946,99.990,0.198,0.321,V
2457290.84453,2015-09-25.3417778,bb,2.11,15.732,>15.732,99.990,-0.180,0.391,V
2457294.74146,2015-09-29.2388689,bb,1.72,14.587,>14.587,99.990,-0.327,1.122,V
2457294.74269,2015-09-29.2401047,bb,1.67,14.702,>14.702,99.990,-0.472,1.010,V
2457294.74394,2015-09-29.2413496,bb,1.70,15.842,>15.842,99.990,0.170,0.353,V
2457296.87516,2015-10-01.3726651,bb,1.75,16.548,>16.548,99.990,-0.211,0.184,V
2457296.87641,2015-10-01.3739208,bb,1.78,16.644,>16.644,99.990,0.652,0.169,V
2457296.87768,2015-10-01.3751869,bb,1.66,16.524,>16.524,99.990,0.765,0.189,V
2457297.75449,2015-10-02.2520375,bb,1.69,17.319,>17.319,99.990,0.268,0.091,V
2457297.75574,2015-10-02.2532903,bb,1.77,17.347,>17.347,99.990,0.248,0.088,V
2457297.75699,2015-10-02.2545423,bb,1.71,17.204,>17.204,99.990,0.183,0.101,V
2457303.84190,2015-10-08.3397456,bb,2.04,17.055,>17.055,99.990,0.500,0.116,V
2457303.84314,2015-10-08.3409879,bb,2.04,17.114,>17.114,99.990,0.331,0.110,V
2457303.84439,2015-10-08.3422402,bb,2.06,17.059,>17.059,99.990,0.292,0.115,V
2457307.81118,2015-10-12.3092315,bb,2.01,17.068,>17.068,99.990,0.305,0.114,V
2457307.81244,2015-10-12.3104953,bb,2.02,17.049,>17.049,99.990,0.408,0.116,V
2457307.81375,2015-10-12.3118045,bb,2.00,17.206,>17.206,99.990,0.310,0.101,V
2457311.81075,2015-10-16.3090223,bb,1.68,17.139,>17.139,99.990,0.299,0.107,V
2457311.81200,2015-10-16.3102746,bb,1.65,17.077,>17.077,99.990,0.014,0.113,V
2457311.81326,2015-10-16.3115280,bb,1.69,17.035,>17.035,99.990,0.411,0.118,V
2457317.76074,2015-10-22.2593493,bb,1.71,16.508,>16.508,99.990,0.076,0.191,V
2457317.76164,2015-10-22.2602460,bb,1.66,16.396,>16.396,99.990,0.134,0.212,V
2457317.76256,2015-10-22.2611628,bb,1.75,16.402,>16.402,99.990,0.361,0.211,V
2457320.79878,2015-10-25.2975628,bb,1.70,16.425,>16.425,99.990,0.356,0.207,V
2457320.80003,2015-10-25.2988152,bb,1.78,16.456,>16.456,99.990,0.312,0.201,V
2457320.80129,2015-10-25.3000716,bb,1.76,16.337,>16.337,99.990,0.314,0.224,V
2457327.74952,2015-11-01.2487252,bb,1.69,17.053,>17.053,99.990,0.242,0.116,V
2457327.75078,2015-11-01.2499861,bb,1.71,17.144,>17.144,99.990,0.356,0.106,V
2457327.75203,2015-11-01.2512376,bb,1.73,16.972,>16.972,99.990,0.461,0.125,V
2457332.76511,2015-11-06.2646296,bb,1.72,17.164,>17.164,99.990,0.330,0.105,V
2457332.76637,2015-11-06.2658855,bb,1.76,17.055,>17.055,99.990,0.094,0.116,V
2457332.76762,2015-11-06.2671349,bb,1.77,17.093,>17.093,99.990,0.323,0.112,V
2457353.69821,2015-11-27.1990422,bb,1.71,16.853,>16.853,99.990,0.463,0.139,V
2457353.69947,2015-11-27.2002940,bb,1.67,16.658,>16.658,99.990,0.159,0.167,V
2457353.70077,2015-11-27.2015945,bb,1.67,16.838,>16.838,99.990,0.425,0.141,V
2457458.14910,2016-03-10.6522445,bb,2.04,16.760,>16.760,99.990,-0.132,0.152,V
2457458.15035,2016-03-10.6534907,bb,2.02,16.570,>16.570,99.990,-0.059,0.181,V
2457458.15160,2016-03-10.6547445,bb,2.05,16.606,>16.606,99.990,0.051,0.175,V
2457459.14560,2016-03-11.6487108,bb,2.07,16.957,>16.957,99.990,-0.003,0.127,V
2457459.14685,2016-03-11.6499608,bb,2.07,16.755,>16.755,99.990,0.138,0.152,V
2457459.14810,2016-03-11.6512143,bb,2.11,16.630,>16.630,99.990,0.141,0.171,V
2457463.13519,2016-03-15.6381709,bb,2.09,17.075,>17.075,99.990,0.305,0.113,V
2457463.13644,2016-03-15.6394253,bb,2.11,17.075,>17.075,99.990,0.227,0.114,V
2457463.13770,2016-03-15.6406891,bb,2.11,17.029,>17.029,99.990,-0.011,0.118,V
2457465.15489,2016-03-17.6578015,bb,2.09,15.515,>15.515,99.990,-0.017,0.477,V
2457465.15580,2016-03-17.6587166,bb,2.05,15.418,>15.418,99.990,0.761,0.522,V
2457465.15672,2016-03-17.6596337,bb,2.10,15.329,>15.329,99.990,-0.314,0.567,V
2457475.11432,2016-03-27.6168343,bb,2.25,16.500,>16.500,99.990,0.038,0.193,V
2457475.11558,2016-03-27.6180864,bb,2.28,16.487,>16.487,99.990,-0.161,0.195,V
2457475.11683,2016-03-27.6193385,bb,2.26,16.526,>16.526,99.990,-0.029,0.188,V
2457482.12775,2016-04-03.6299334,bb,1.78,17.032,>17.032,99.990,-0.089,0.118,V
2457482.12899,2016-04-03.6311763,bb,1.66,16.914,>16.914,99.990,0.264,0.132,V
2457482.13024,2016-04-03.6324255,bb,1.70,16.841,>16.841,99.990,0.256,0.141,V
2457484.09420,2016-04-05.5962807,bb,1.76,17.085,>17.085,99.990,0.222,0.112,V
2457484.09546,2016-04-05.5975421,bb,1.73,16.952,>16.952,99.990,0.385,0.127,V
2457484.09670,2016-04-05.5987827,bb,1.75,17.073,>17.073,99.990,0.283,0.114,V
2457490.07699,2016-04-11.5787625,bb,1.69,17.066,>17.066,99.990,0.246,0.114,V
2457490.07825,2016-04-11.5800180,bb,1.80,17.150,>17.150,99.990,0.350,0.106,V
2457490.07951,2016-04-11.5812789,bb,1.68,17.024,>17.024,99.990,0.533,0.119,V
2457498.08811,2016-04-19.5894337,bb,1.96,16.457,>16.457,99.990,0.180,0.201,V
2457498.08937,2016-04-19.5906939,bb,1.79,16.647,>16.647,99.990,0.320,0.168,V
2457498.09062,2016-04-19.5919480,bb,1.82,16.542,>16.542,99.990,0.156,0.185,V
2457505.03687,2016-04-26.5377901,bb,1.70,16.456,>16.456,99.990,0.116,0.201,V
2457505.03812,2016-04-26.5390434,bb,1.78,16.544,>16.544,99.990,0.352,0.185,V
2457505.03939,2016-04-26.5403098,bb,1.68,16.529,>16.529,99.990,0.351,0.188,V
2457509.04581,2016-04-30.5464912,bb,1.78,16.753,>16.753,99.990,0.444,0.153,V
2457509.04707,2016-04-30.5477407,bb,1.79,16.821,>16.821,99.990,0.037,0.143,V
2457509.04832,2016-04-30.5489957,bb,1.99,16.704,>16.704,99.990,0.054,0.160,V
2457513.08522,2016-05-04.5856546,bb,1.72,17.372,>17.372,99.990,0.215,0.086,V
2457513.08648,2016-05-04.5869100,bb,1.74,17.177,>17.177,99.990,0.204,0.103,V
2457513.08773,2016-05-04.5881630,bb,1.74,17.063,>17.063,99.990,0.219,0.115,V
2457524.04826,2016-05-15.5480163,bb,1.69,17.172,>17.172,99.990,0.239,0.104,V
2457524.04954,2016-05-15.5492923,bb,1.65,17.149,>17.149,99.990,0.091,0.106,V
2457524.05080,2016-05-15.5505555,bb,1.74,17.254,>17.254,99.990,0.416,0.096,V
2457528.00810,2016-05-19.5076083,bb,1.77,16.455,>16.455,99.990,0.405,0.201,V
2457528.00935,2016-05-19.5088603,bb,1.96,16.355,>16.355,99.990,0.479,0.220,V
2457528.01060,2016-05-19.5101098,bb,1.98,16.473,>16.473,99.990,0.833,0.198,V
2457539.07343,2016-05-30.5722765,bb,1.62,17.005,>17.005,99.990,0.239,0.121,V
2457539.07468,2016-05-30.5735311,bb,1.70,16.974,>16.974,99.990,0.432,0.125,V
2457539.07593,2016-05-30.5747833,bb,1.68,17.189,>17.189,99.990,0.192,0.102,V
2457544.98867,2016-06-05.4871751,bb,1.64,17.299,>17.299,99.990,0.180,0.092,V
2457544.98992,2016-06-05.4884289,bb,1.62,17.157,>17.157,99.990,0.232,0.105,V
2457544.99124,2016-06-05.4897518,bb,1.71,17.182,>17.182,99.990,0.174,0.103,V
2457549.96392,2016-06-10.4621548,bb,1.70,17.285,>17.285,99.990,0.224,0.093,V
2457549.96518,2016-06-10.4634099,bb,1.73,17.256,>17.256,99.990,0.273,0.096,V
2457549.96644,2016-06-10.4646741,bb,1.74,17.232,>17.232,99.990,0.490,0.098,V
2457559.03416,2016-06-19.5319241,bb,1.71,16.538,>16.538,99.990,0.393,0.186,V
2457559.03542,2016-06-19.5331884,bb,1.72,16.561,>16.561,99.990,-0.056,0.182,V
2457559.03669,2016-06-19.5344516,bb,1.73,16.477,>16.477,99.990,0.318,0.197,V
2457567.93699,2016-06-28.4343456,bb,1.63,16.980,>16.980,99.990,0.125,0.124,V
2457567.93824,2016-06-28.4356017,bb,1.66,16.813,>16.813,99.990,0.381,0.145,V
2457567.93951,2016-06-28.4368645,bb,1.60,16.693,>16.693,99.990,0.440,0.161,V
2457575.02076,2016-07-05.5178375,bb,1.66,17.208,>17.208,99.990,0.424,0.100,V
2457575.02203,2016-07-05.5191038,bb,1.72,17.318,>17.318,99.990,0.357,0.091,V
2457575.02328,2016-07-05.5203561,bb,1.73,17.226,>17.226,99.990,0.177,0.099,V
2457578.92260,2016-07-09.4195381,bb,1.67,17.380,>17.380,99.990,0.115,0.086,V
2457578.92385,2016-07-09.4207853,bb,1.62,17.094,>17.094,99.990,0.268,0.111,V
2457578.92512,2016-07-09.4220549,bb,1.72,17.149,>17.149,99.990,0.086,0.106,V
2457585.85152,2016-07-16.3482431,bb,1.64,16.581,>16.581,99.990,0.289,0.179,V
2457585.85278,2016-07-16.3495001,bb,1.68,16.650,>16.650,99.990,-0.037,0.168,V
2457585.85403,2016-07-16.3507493,bb,1.64,16.749,>16.749,99.990,0.300,0.153,V
2457587.81876,2016-07-18.3154329,bb,1.99,15.008,>15.008,99.990,-0.421,0.762,V
2457587.82003,2016-07-18.3167015,bb,1.99,15.463,>15.463,99.990,0.780,0.501,V
2457587.82129,2016-07-18.3179552,bb,2.04,14.985,>14.985,99.990,-0.757,0.778,V
2457598.05122,2016-07-28.5476712,bb,2.03,17.060,>17.060,99.990,0.207,0.115,V
2457598.05247,2016-07-28.5489209,bb,2.01,17.069,>17.069,99.990,0.145,0.114,V
2457599.05091,2016-07-29.5473443,bb,2.15,17.048,>17.048,99.990,0.084,0.116,V
2457599.05216,2016-07-29.5485940,bb,2.06,17.074,>17.074,99.990,0.178,0.114,V
2457601.95861,2016-08-01.4550092,bb,1.64,17.353,>17.353,99.990,0.192,0.088,V
2457601.95987,2016-08-01.4562656,bb,1.67,17.375,>17.375,99.990,0.198,0.086,V
2457601.96113,2016-08-01.4575290,bb,1.65,17.586,>17.586,99.990,0.120,0.071,V
2457606.02923,2016-08-05.5255876,bb,2.15,17.304,>17.304,99.990,0.129,0.092,V
2457606.03048,2016-08-05.5268412,bb,2.18,17.053,>17.053,99.990,0.499,0.116,V
2457606.03174,2016-08-05.5280967,bb,2.18,17.139,>17.139,99.990,0.188,0.107,V
2457607.95977,2016-08-07.4561145,bb,1.74,17.408,>17.408,99.990,0.408,0.084,V
2457607.96102,2016-08-07.4573616,bb,1.69,17.272,>17.272,99.990,0.410,0.095,V
2457607.96227,2016-08-07.4586164,bb,1.70,17.361,>17.361,99.990,0.246,0.087,V
2457608.74815,2016-08-08.2444954,bb,2.08,16.497,>16.497,99.990,0.048,0.193,V
2457608.74941,2016-08-08.2457520,bb,2.05,16.575,>16.575,99.990,0.210,0.180,V
2457608.75066,2016-08-08.2470067,bb,2.06,16.663,>16.663,99.990,0.186,0.166,V
2457610.04232,2016-08-09.5386555,bb,1.64,16.575,>16.575,99.990,-0.067,0.180,V
2457610.04358,2016-08-09.5399177,bb,1.60,16.612,>16.612,99.990,-0.102,0.174,V
2457610.04483,2016-08-09.5411687,bb,1.67,16.830,>16.830,99.990,0.136,0.142,V
2457612.99887,2016-08-12.4952043,bb,1.78,17.279,>17.279,99.990,0.338,0.094,V
2457613.00014,2016-08-12.4964673,bb,1.75,17.156,>17.156,99.990,0.289,0.105,V
2457613.00139,2016-08-12.4977233,bb,1.73,17.112,>17.112,99.990,0.393,0.110,V
2457613.77492,2016-08-13.2712473,bb,1.82,16.579,>16.579,99.990,-0.118,0.179,V
2457613.77618,2016-08-13.2725096,bb,1.99,16.761,>16.761,99.990,-0.053,0.152,V
2457613.77743,2016-08-13.2737641,bb,1.75,16.900,>16.900,99.990,0.062,0.133,V
2457617.94689,2016-08-17.4432233,bb,1.74,16.245,>16.245,99.990,0.366,0.244,V
2457617.94819,2016-08-17.4445370,bb,1.96,16.304,>16.304,99.990,-0.293,0.231,V
2457617.94946,2016-08-17.4457981,bb,1.85,16.199,>16.199,99.990,0.621,0.254,V
2457621.88755,2016-08-21.3839184,bb,1.73,16.551,>16.551,99.990,0.196,0.184,V
2457621.88881,2016-08-21.3851733,bb,2.04,16.525,>16.525,99.990,0.281,0.188,V
2457621.89006,2016-08-21.3864226,bb,1.75,16.534,>16.534,99.990,0.348,0.187,V
2457627.95944,2016-08-27.4558751,bb,2.13,17.044,>17.044,99.990,0.325,0.117,V
2457627.96069,2016-08-27.4571318,bb,2.14,16.911,>16.911,99.990,0.422,0.132,V
2457627.96195,2016-08-27.4583868,bb,2.14,17.022,>17.022,99.990,0.246,0.119,V
2457636.94658,2016-09-05.4431971,bb,1.73,17.328,>17.328,99.990,0.360,0.090,V
2457636.94784,2016-09-05.4444490,bb,1.77,17.230,>17.230,99.990,0.437,0.098,V
2457637.86083,2016-09-06.3574605,bb,2.02,17.133,>17.133,99.990,0.068,0.108,V
2457637.86209,2016-09-06.3587285,bb,1.98,17.107,>17.107,99.990,0.047,0.110,V
2457637.86333,2016-09-06.3599677,bb,1.98,17.152,>17.152,99.990,0.264,0.106,V
2457643.76063,2016-09-12.2574306,bb,1.69,16.830,>16.830,99.990,0.285,0.142,V
2457643.76189,2016-09-12.2586888,bb,1.69,16.575,>16.575,99.990,0.317,0.180,V
2457643.76315,2016-09-12.2599513,bb,1.75,16.680,>16.680,99.990,0.140,0.163,V
2457651.90503,2016-09-20.4021065,bb,2.04,15.202,>15.202,99.990,0.749,0.637,V
2457651.90628,2016-09-20.4033620,bb,2.06,15.275,>15.275,99.990,-0.600,0.595,V
2457651.90755,2016-09-20.4046267,bb,2.02,15.122,>15.122,99.990,-1.175,0.686,V
2457652.90056,2016-09-21.3976737,bb,1.66,16.910,>16.910,99.990,0.074,0.132,V
2457652.90182,2016-09-21.3989409,bb,1.67,16.733,>16.733,99.990,0.479,0.156,V
2457652.90311,2016-09-21.4002254,bb,1.86,16.971,>16.971,99.990,0.206,0.125,V
2457656.85535,2016-09-25.3526230,bb,1.65,17.230,>17.230,99.990,0.054,0.098,V
2457656.85661,2016-09-25.3538851,bb,1.71,17.238,>17.238,99.990,0.240,0.098,V
2457656.85787,2016-09-25.3551457,bb,1.63,17.078,>17.078,99.990,0.186,0.113,V
2457658.75407,2016-09-27.2514253,bb,1.72,17.305,>17.305,99.990,0.225,0.092,V
2457658.75532,2016-09-27.2526821,bb,1.68,17.308,>17.308,99.990,0.249,0.092,V
2457658.75657,2016-09-27.2539307,bb,1.72,17.140,>17.140,99.990,0.051,0.107,V
2457667.82829,2016-10-06.3260685,bb,1.63,17.150,>17.150,99.990,0.163,0.106,V
2457667.82954,2016-10-06.3273215,bb,1.63,17.263,17.212,0.209,0.500,0.095,V
2457667.83079,2016-10-06.3285753,bb,1.65,17.230,17.193,0.212,0.509,0.098,V
2457670.82292,2016-10-09.3208565,bb,1.73,16.814,>16.814,99.990,0.085,0.144,V
2457670.82418,2016-10-09.3221078,bb,1.72,16.854,>16.854,99.990,-0.021,0.139,V
2457670.82543,2016-10-09.3233627,bb,1.63,16.946,>16.946,99.990,0.354,0.128,V
2457674.70535,2016-10-13.2034930,bb,2.43,16.235,>16.235,99.990,0.392,0.246,V
2457674.70660,2016-10-13.2047409,bb,2.44,16.400,>16.400,99.990,0.125,0.211,V
2457674.70787,2016-10-13.2060048,bb,2.47,16.294,>16.294,99.990,0.118,0.233,V
2457677.82614,2016-10-16.3244472,bb,2.10,15.944,>15.944,99.990,0.116,0.322,V
2457677.82738,2016-10-16.3256912,bb,2.08,16.084,>16.084,99.990,0.225,0.283,V
2457677.82864,2016-10-16.3269513,bb,2.11,16.078,>16.078,99.990,0.027,0.284,V
2457679.77211,2016-10-18.2705328,bb,2.02,16.755,>16.755,99.990,-0.125,0.152,V
2457679.77338,2016-10-18.2717960,bb,2.02,16.602,>16.602,99.990,-0.065,0.175,V
2457679.77465,2016-10-18.2730662,bb,2.01,16.553,>16.553,99.990,0.433,0.184,V
2457685.80356,2016-10-24.3023271,bb,2.04,16.234,>16.234,99.990,-0.551,0.246,V
2457685.80482,2016-10-24.3035893,bb,2.08,16.742,>16.742,99.990,0.019,0.154,V
2457685.80607,2016-10-24.3048430,bb,2.07,17.039,>17.039,99.990,0.112,0.117,V
2457686.80208,2016-10-25.3009083,bb,1.75,17.119,>17.119,99.990,0.158,0.109,V
2457686.80333,2016-10-25.3021638,bb,1.74,17.204,>17.204,99.990,0.073,0.101,V
2457686.80460,2016-10-25.3034263,bb,1.82,16.988,>16.988,99.990,0.146,0.123,V
2457688.79143,2016-10-27.2903783,bb,1.71,17.044,>17.044,99.990,0.288,0.117,V
2457688.79269,2016-10-27.2916379,bb,1.71,17.166,>17.166,99.990,0.284,0.104,V
2457688.79394,2016-10-27.2928942,bb,1.69,17.059,>17.059,99.990,0.473,0.115,V
2457691.78283,2016-10-30.2819620,bb,1.80,17.393,>17.393,99.990,0.142,0.085,V
2457691.78408,2016-10-30.2832140,bb,1.78,17.180,>17.180,99.990,0.311,0.103,V
2457691.78533,2016-10-30.2844650,bb,1.78,17.126,>17.126,99.990,0.254,0.108,V
2457694.76825,2016-11-02.2675608,bb,1.70,17.273,>17.273,99.990,0.226,0.095,V
2457694.76952,2016-11-02.2688284,bb,1.69,17.258,>17.258,99.990,0.198,0.096,V
2457694.77077,2016-11-02.2700866,bb,1.78,17.100,>17.100,99.990,0.454,0.111,V
2457696.71016,2016-11-04.2095953,bb,1.74,17.110,>17.110,99.990,0.132,0.110,V
2457696.71142,2016-11-04.2108603,bb,1.73,17.067,>17.067,99.990,0.369,0.114,V
2457696.71268,2016-11-04.2121207,bb,1.80,17.295,>17.295,99.990,0.174,0.093,V
2457699.73622,2016-11-07.2358430,bb,1.64,16.189,>16.189,99.990,-0.099,0.257,V
2457699.73749,2016-11-07.2371107,bb,1.69,16.147,>16.147,99.990,0.765,0.267,V
