HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459530.75772,2021-11-12.2576408,bB,2.04,16.531,>16.531,99.990,-0.641,0.178,g
2459530.75897,2021-11-12.2588947,bB,2.03,16.443,>16.443,99.990,0.230,0.192,g
2459530.76024,2021-11-12.2601609,bB,2.07,16.469,>16.469,99.990,0.186,0.188,g
2459532.64143,2021-11-14.1414728,br,1.50,16.802,>16.802,99.990,0.126,0.138,g
2459532.64267,2021-11-14.1427215,br,1.46,16.704,>16.704,99.990,-0.333,0.151,g
2459532.64392,2021-11-14.1439703,br,1.49,16.959,>16.959,99.990,-0.057,0.120,g
2459535.58773,2021-11-17.0879609,br,1.46,16.632,>16.632,99.990,0.206,0.162,g
2459535.58896,2021-11-17.0891887,br,1.45,16.647,>16.647,99.990,-0.272,0.159,g
2459535.59021,2021-11-17.0904435,br,1.46,16.784,>16.784,99.990,0.222,0.141,g
2459535.66689,2021-11-17.1671223,br,1.49,16.314,>16.314,99.990,-0.133,0.216,g
2459535.66813,2021-11-17.1683677,br,1.46,16.317,>16.317,99.990,-0.398,0.216,g
2459535.66937,2021-11-17.1696048,br,1.51,16.476,>16.476,99.990,0.234,0.187,g
2459537.64995,2021-11-19.1503048,br,1.59,16.021,>16.021,99.990,0.322,0.284,g
2459537.65119,2021-11-19.1515456,br,1.55,16.116,>16.116,99.990,0.271,0.260,g
2459537.65243,2021-11-19.1527909,br,1.58,15.887,>15.887,99.990,-0.168,0.321,g
2459539.71811,2021-11-21.2185983,bB,2.11,17.372,>17.372,99.990,-0.037,0.082,g
2459539.71937,2021-11-21.2198643,bB,2.12,17.173,>17.173,99.990,0.040,0.098,g
2459539.72065,2021-11-21.2211379,bB,2.11,17.326,>17.326,99.990,0.124,0.085,g
2459541.63754,2021-11-23.1381464,br,1.43,16.988,>16.988,99.990,0.050,0.116,g
2459541.63879,2021-11-23.1393924,br,1.41,16.683,>16.683,99.990,0.076,0.154,g
2459541.64003,2021-11-23.1406321,br,1.43,16.655,>16.655,99.990,0.166,0.158,g
2459543.71388,2021-11-25.2146155,bB,2.25,18.064,>18.064,99.990,0.043,0.043,g
2459543.71514,2021-11-25.2158758,bB,2.25,17.956,>17.956,99.990,-0.080,0.048,g
2459543.71639,2021-11-25.2171307,bB,2.25,17.840,>17.840,99.990,0.236,0.053,g
2459552.61476,2021-12-04.1160310,br,1.44,17.556,>17.556,99.990,0.065,0.069,g
2459552.61599,2021-12-04.1172697,br,1.49,17.519,>17.519,99.990,0.060,0.071,g
2459552.61722,2021-12-04.1184983,br,1.41,17.647,>17.647,99.990,-0.042,0.063,g
2459554.53158,2021-12-06.0329651,br,1.58,16.640,>16.640,99.990,-0.342,0.161,g
2459554.53283,2021-12-06.0342246,br,1.56,16.650,>16.650,99.990,-0.221,0.159,g
2459554.53408,2021-12-06.0354667,br,1.58,16.783,>16.783,99.990,-0.052,0.141,g
2459556.60100,2021-12-08.1025106,br,1.43,17.459,>17.459,99.990,0.015,0.075,g
2459556.60224,2021-12-08.1037444,br,1.41,17.340,>17.340,99.990,0.031,0.084,g
2459556.60348,2021-12-08.1049825,br,1.42,17.401,>17.401,99.990,0.210,0.080,g
2459563.58330,2021-12-15.0851905,br,1.44,16.140,>16.140,99.990,-0.036,0.254,g
2459563.58453,2021-12-15.0864196,br,1.47,16.183,>16.183,99.990,-0.004,0.244,g
2459563.58577,2021-12-15.0876568,br,1.40,15.759,>15.759,99.990,-0.502,0.361,g
2459565.59545,2021-12-17.0974548,br,1.53,16.068,>16.068,99.990,-0.889,0.272,g
2459565.59668,2021-12-17.0986873,br,1.49,16.193,>16.193,99.990,0.478,0.242,g
2459565.59792,2021-12-17.0999233,br,1.45,16.023,>16.023,99.990,0.381,0.283,g
2459570.56106,2021-12-22.0633204,br,1.57,16.309,>16.309,99.990,0.150,0.218,g
2459570.56232,2021-12-22.0645656,br,1.59,15.910,>15.910,99.990,-0.033,0.314,g
2459570.56355,2021-12-22.0658038,br,1.55,16.653,>16.653,99.990,-0.192,0.158,g
2459571.56093,2021-12-23.0632365,br,1.42,17.289,>17.289,99.990,-0.056,0.088,g
2459571.56218,2021-12-23.0644820,br,1.43,17.194,>17.194,99.990,0.231,0.096,g
2459571.56343,2021-12-23.0657333,br,1.43,17.123,>17.123,99.990,-0.093,0.103,g
2459578.53954,2021-12-30.0421686,br,1.52,16.233,>16.233,99.990,0.280,0.233,g
2459578.54078,2021-12-30.0434094,br,1.46,16.541,>16.541,99.990,-0.332,0.176,g
2459578.54202,2021-12-30.0446479,br,1.48,16.487,>16.487,99.990,-0.007,0.185,g
2459638.01447,2022-02-27.5178908,br,1.51,16.500,>16.500,99.990,-0.074,0.182,g
2459638.01572,2022-02-27.5191421,br,1.54,16.573,>16.573,99.990,-0.263,0.171,g
2459638.01697,2022-02-27.5203946,br,1.50,16.324,>16.324,99.990,-0.152,0.215,g
2459640.15194,2022-03-01.6553271,bB,2.50,17.217,>17.217,99.990,0.052,0.094,g
2459644.14022,2022-03-05.6435214,bB,2.43,17.530,>17.530,99.990,-0.067,0.071,g
2459644.14149,2022-03-05.6447913,bB,2.46,17.450,>17.450,99.990,-0.213,0.076,g
2459644.14275,2022-03-05.6460538,bB,2.44,17.407,>17.407,99.990,-0.090,0.079,g
2459645.99551,2022-03-07.4987649,br,1.44,17.441,>17.441,99.990,0.086,0.077,g
2459645.99676,2022-03-07.5000067,br,1.46,17.510,>17.510,99.990,0.166,0.072,g
2459645.99797,2022-03-07.5012251,br,1.51,17.455,>17.455,99.990,-0.034,0.076,g
2459651.12783,2022-03-12.6309353,bB,2.11,17.649,>17.649,99.990,0.030,0.063,g
2459652.12779,2022-03-13.6308716,bB,2.23,17.653,>17.653,99.990,0.046,0.063,g
2459652.12906,2022-03-13.6321333,bB,2.23,17.573,>17.573,99.990,0.079,0.068,g
2459652.13031,2022-03-13.6333865,bB,2.22,17.694,>17.694,99.990,0.082,0.061,g
