,JD,Magnitude,Magnitude_Error
163,2459047.7988079,21.1584091,0.17990613
164,2459050.8544907,21.4254246,0.198500276
165,2459052.8534259,21.4536896,0.20046854
166,2459053.7889583,21.3327675,0.192047834
167,2459054.8278009,21.5085258,0.204287171
168,2459066.774456,21.2196903,0.184173584
169,2459067.7692477,21.2202816,0.184214711
170,2459072.7734028,21.4882469,0.202875018
171,2459077.8253588,21.3479481,0.193104982
172,2459086.7654051,21.0386143,0.171563983
173,2459089.701956,21.1057663,0.176240206
174,2459093.7551968,20.919672,0.163281202
175,2459096.7461227,20.9900551,0.168182492
176,2459112.756875,21.2399292,0.185582876
177,2459113.7198843,20.95961,0.166062355
178,2459113.7403704,21.0936165,0.175394177
179,2459114.769213,21.1898212,0.182093501
180,2459116.6524421,21.1581955,0.179891229
181,2459117.7025463,21.5597916,0.207857132
182,2459118.6522106,21.0741692,0.174039841
183,2459118.682037,20.9266682,0.163768411
184,2458679.8335417,20.6786652,0.152552009
185,2458270.9134722,19.8617687,0.099383086
186,2458270.9139236,19.7762451,0.0935848951
187,2458271.9218519,19.9483242,0.105607159
188,2458271.9223148,19.9223442,0.103700906
189,2458295.8537616,19.8621597,0.0994103998
190,2458295.854213,19.9236889,0.103798762
191,2458296.8494675998,19.8670483,0.0997524038
192,2458296.8499306,19.7643661,0.0928066373
193,2458301.9160764,19.9176788,0.103362024
194,2458301.9165278,19.8045197,0.0954636782
195,2458331.8948495,19.9091129,0.102742687
196,2458331.8953125,19.8239765,0.0967783704
197,2458332.8660648,20.1180935,0.11888206
198,2458332.8665162,19.9155216,0.103205755
199,2458335.8453472,20.2338333,0.12875019
200,2458336.8655787,19.8618736,0.0993904099
201,2458336.8660301,19.9594746,0.106435463
202,2458338.8533681,19.9912663,0.108830519
203,2458348.7056134,20.023304,0.111294508
204,2458353.806956,19.9231014,0.103755988
205,2458354.8071875,19.7933731,0.0947185755
206,2458356.8128704,19.930954,0.104328975
207,2458357.8128125,20.0650463,0.114580944
208,2458358.7802083,19.9156246,0.103213176
209,2458359.8720718,19.7441425,0.0914966762
210,2458360.8239236,19.7665367,0.0929483697
211,2458361.8253704,20.0918465,0.11673636
212,2458362.8633449,20.170166,0.123240061
213,2458378.7704861,19.9840794,0.108284727
214,2458429.5807407,20.0278339,0.111646987
215,2458433.5816667,20.0374889,0.112401515
216,2458443.5770718,19.8632393,0.0994858518
217,2458654.9132176,19.9889679,0.108655691
218,2458654.913669,19.7179947,0.0898308232
219,2458655.8636921,19.6884422,0.0879854038
220,2458676.7706829,19.7863312,0.0942508355
221,2458676.7711343,19.9628105,0.106684424
222,2458685.8962269,19.8912239,0.101460546
223,2458685.9118171,19.9697456,0.107203804
224,2458686.8367245,20.0851822,0.116197065
225,2458686.8371759,19.8826599,0.100852236
226,2458693.8708565,19.9459229,0.105429612
227,2458693.8713079,19.9334774,0.104513779
228,2458718.8340741,20.0217476,0.1111736
229,2458722.8328704,20.0483246,0.113253973
230,2458722.8333218,19.925457,0.103927568
231,2458730.6460764,19.9428825,0.105205216
232,2458768.7047453998,19.8335533,0.0974320471
233,2458768.7051968,20.2453957,0.129772231
234,2458787.5801389,20.1705093,0.123269245
235,2458793.5804861,20.1176147,0.118842565
236,2458793.5809375,19.9980679,0.10934931
