mjd,mag,magerr,filter
60508.17460178696,16.571990966796875,0.06887499243021011,u
60508.227630291054,16.619081497192383,0.06877867132425308,u
60509.264377940606,16.580156326293945,0.06420674175024033,u
60510.1658209532,15.782649040222168,0.023937631398439407,q
60510.166759112144,16.59392547607422,0.06469982117414474,u
60510.188532677406,15.731276512145996,0.022113369777798653,q
60510.189470356694,16.73941421508789,0.0696617141366005,u
60510.226454595686,15.763650894165039,0.02384910173714161,q
60510.227392665685,16.683189392089844,0.07217276096343994,u
60510.228353357845,16.09742546081543,0.07954347133636475,i
