,runcat_id,ra,dec,n_datapoints,snr,q_min,q_max,u_min,u_max,i_min,i_max,Gmag,BP-RP,Dist,b_Dist_cds,B_Dist_cdsa,RPlx,qui_min,M_G,url,qui_diff
51,33679873,76.53403215850844,-71.04592471548938,1,9.429523468017578,18.3360538482666,19.204259872436523,,,17.564697265625,18.2061767578125,17.152617,1.377111,1617.1259,1540.3712,1976.4694,7.416338338475144,17.564697265625,6.108897835697512,http://gemtom.blackgem.org/transients/33679873,0.6414794921875
53,33679933,77.10542978557682,-71.03883086872074,2,7.29381799697876,18.18663215637207,18.98660659790039,,,17.20904541015625,18.22800636291504,16.520584,1.74447,3605.6313,3332.5642,3887.5107,12.994518570709069,17.20904541015625,3.7356774243438675,http://gemtom.blackgem.org/transients/33679933,1.018960952758789
55,33679935,76.94896776255665,-71.03854007735451,2,10.721418380737305,18.057388305664062,18.76346206665039,,,16.905101776123047,17.933029174804688,16.206985,1.938862,6174.3296,5738.4272,6936.639,10.305906852194244,16.905101776123047,2.254035952954018,http://gemtom.blackgem.org/transients/33679935,1.0279273986816406
56,33680037,77.22775522257045,-71.0266699254952,2,6.974975109100342,18.186786651611328,18.693164825439453,,,17.413843154907227,18.203998565673828,16.74965,1.388295,3562.2073,3546.854,3583.9607,191.99806503946584,17.413843154907227,3.9910540534676713,http://gemtom.blackgem.org/transients/33680037,0.7901554107666016
58,33680051,76.72027139850317,-71.02515012905931,1,7.270652294158936,18.713815689086914,19.162729263305664,,,17.819406509399414,18.50540542602539,17.376951,1.453846,1683.7527,1612.6735,1760.7386,22.74341083753028,17.819406509399414,6.245559474253739,http://gemtom.blackgem.org/transients/33680051,0.6859989166259766
59,33680128,77.1582176327348,-71.01765859781673,1,6.16849946975708,18.750640869140625,18.750640869140625,,,17.848922729492188,18.612201690673828,17.15174,1.438261,2413.7993,2319.4058,2503.3162,26.249731390938166,17.848922729492188,5.238234214950765,http://gemtom.blackgem.org/transients/33680128,0.7632789611816406
60,33680154,76.92230107559574,-71.01368148706185,1,6.8811259269714355,18.419387817382812,19.10508918762207,,,17.512083053588867,18.57459831237793,16.853127,1.318611,2907.2085,2692.9556,3066.9453,15.546997684695592,17.512083053588867,4.535746101291757,http://gemtom.blackgem.org/transients/33680154,1.0625152587890625
61,33680196,76.86006094659146,-71.00894972332196,1,6.60451602935791,18.592147827148438,18.592147827148438,,,17.688772201538086,18.556921005249023,17.021217,1.425238,3158.0393,3116.2417,3195.6155,79.57384678571533,17.688772201538086,4.5241293487334,http://gemtom.blackgem.org/transients/33680196,0.8681488037109375
62,33680214,77.32342727455251,-71.00646555657552,1,6.511839389801025,18.69858169555664,18.69858169555664,,,17.772846221923828,18.545682907104492,17.15631,1.626385,2312.7634,2221.6743,2381.687,28.907247987191056,17.772846221923828,5.3356539704534445,http://gemtom.blackgem.org/transients/33680214,0.7728366851806641
63,33680219,76.96523916037292,-71.0060855914671,1,6.2724809646606445,18.78421401977539,18.78421401977539,,,17.755834579467773,18.67059898376465,17.144472,1.147446,1122.064,1079.2281,1243.4828,13.662488805495373,17.755834579467773,6.894383855977946,http://gemtom.blackgem.org/transients/33680219,0.914764404296875
66,33680267,76.88726831665366,-71.00050231971157,1,8.375435829162598,18.200212478637695,18.782339096069336,,,17.393726348876953,18.238807678222656,16.518993,1.358423,3165.5864,2868.1653,3385.366,12.241230145280163,17.393726348876953,4.016722142775155,http://gemtom.blackgem.org/transients/33680267,0.8450813293457031
67,33680375,77.43767874641263,-70.99011991745022,1,6.334691047668457,,,,,17.35623550415039,18.302961349487305,16.547945,1.801075,2458.502,2297.6533,2656.759,13.692358545130302,17.35623550415039,4.594592170367957,http://gemtom.blackgem.org/transients/33680375,0.9467258453369141
69,33680457,77.45666426878671,-70.98222608133955,1,7.340437889099121,,,,,17.019729614257812,18.124725341796875,16.245932,1.764381,3084.3193,2925.802,3334.5608,15.09114568297979,17.019729614257812,3.8001353427130553,http://gemtom.blackgem.org/transients/33680457,1.1049957275390625
71,33680698,77.30515550992241,-70.95984405372484,1,7.306375026702881,,,,,17.012361526489258,17.85167121887207,15.966936,1.758205,3119.1135,2912.5105,3451.495,11.574037843388817,17.012361526489258,3.496780108056466,http://gemtom.blackgem.org/transients/33680698,0.8393096923828125
72,33680715,76.7019980433035,-70.95730930248693,1,9.535965919494627,18.09311294555664,18.09311294555664,,,16.801799774169922,17.47901153564453,16.015882,1.524597,3260.5198,3046.754,3534.4956,13.36986551895511,16.801799774169922,3.449447790647689,http://gemtom.blackgem.org/transients/33680715,0.6772117614746094
73,33680742,76.52832644422072,-70.95412312549438,2,6.681682586669922,18.952871322631836,18.952871322631836,,,17.5526065826416,18.315351486206055,16.839031,1.631598,2183.7307,1956.4633,2258.655,14.452618652332264,17.5526065826416,5.143035601620426,http://gemtom.blackgem.org/transients/33680742,0.7627449035644531
74,33680757,76.57084888951323,-70.95273324908713,1,7.904134750366211,,,,,17.202417373657227,17.81582260131836,16.35181,1.882642,2206.9329,2118.6064,2334.2295,20.470282636693398,17.202417373657227,4.6328643550407005,http://gemtom.blackgem.org/transients/33680757,0.6134052276611328
75,33680783,76.61132625855046,-70.95058868831725,2,6.408401012420654,18.928821563720703,18.928821563720703,,,16.886377334594727,17.70058822631836,16.066727,2.126977,2662.06,2303.7537,3052.932,7.106612671509576,16.886377334594727,3.940637801077461,http://gemtom.blackgem.org/transients/33680783,0.8142108917236328
76,33680800,76.84351475574687,-70.94836898171246,1,9.317432403564451,,,,,17.698699951171875,18.216848373413086,16.862156,1.157856,4119.774,3909.2373,4371.1978,17.83604442371155,17.698699951171875,3.7877890378501036,http://gemtom.blackgem.org/transients/33680800,0.5181484222412109
78,33680847,76.83349955715889,-70.94444034574236,2,6.490540027618408,,,,,18.36749267578125,18.840852737426758,17.56456,1.365486,4278.679,4211.2876,4330.892,71.54718388286709,18.36749267578125,4.408011472181872,http://gemtom.blackgem.org/transients/33680847,0.4733600616455078
79,33680863,76.91155037238525,-70.94305271975159,1,6.612748146057129,,,,,17.827865600585938,18.513111114501953,16.638292,0.910355,1504.4952,1425.8284,1609.0231,16.425095267494093,17.827865600585938,5.751337967558481,http://gemtom.blackgem.org/transients/33680863,0.6852455139160156
80,33680868,77.38349207345155,-70.9421979127556,1,6.475774765014648,,,,,17.576805114746094,18.271305084228516,16.496775,1.957689,4870.723,4649.3296,5244.501,16.36746322151904,17.576805114746094,3.0588078411497364,http://gemtom.blackgem.org/transients/33680868,0.6944999694824219
81,33680912,77.05136335029924,-70.93800321623957,1,8.943346977233887,,,,,17.065717697143555,17.838472366333008,15.975372,1.784636,3049.4763,2804.0938,3490.761,8.881962907213277,17.065717697143555,3.5542456877721254,http://gemtom.blackgem.org/transients/33680912,0.7727546691894531
82,33680945,76.75169511145981,-70.93355093432072,2,9.965818405151367,17.56989097595215,17.56989097595215,,,16.566654205322266,17.20431137084961,15.493175,0.894651,2399.7397,2353.4014,2437.6975,56.93596026387934,16.566654205322266,3.5923543184930544,http://gemtom.blackgem.org/transients/33680945,0.6376571655273438
83,33680976,77.02219639077954,-70.9299105890569,1,8.370012283325195,,,,,17.19265365600586,18.03172492980957,16.137217,1.443596,2697.6208,2574.807,2822.285,21.800893816824118,17.19265365600586,3.982312492078364,http://gemtom.blackgem.org/transients/33680976,0.8390712738037109
85,33681056,76.57214341637386,-70.9195264574358,2,11.245949745178224,18.038982391357422,18.038982391357422,,,17.07195472717285,17.682302474975586,15.964455,0.863512,1274.5571,1230.0496,1351.6615,20.96105890953108,17.07195472717285,5.437658517099775,http://gemtom.blackgem.org/transients/33681056,0.6103477478027344
86,33681105,77.0834056259075,-70.91417554166982,1,6.769075393676758,,,,,17.84846305847168,18.411598205566406,16.900337,1.558144,2282.1658,1678.3125,2468.911,5.7732611432984,17.84846305847168,5.108601035764728,http://gemtom.blackgem.org/transients/33681105,0.5631351470947266
88,33681179,77.26222080959741,-70.90703936962254,2,6.276082515716553,,,,,17.181726455688477,18.088428497314453,15.945184,1.450079,5771.8286,5547.155,6283.199,15.683379254501093,17.181726455688477,2.1386168708963904,http://gemtom.blackgem.org/transients/33681179,0.9067020416259766
89,33681212,77.2503206027504,-70.90365160907653,1,11.440775871276855,17.366634368896484,17.366634368896484,,,15.95941162109375,16.906940460205078,14.741066,1.206251,483.3408,479.9302,486.4295,148.73626390534352,15.95941162109375,6.319798717177736,http://gemtom.blackgem.org/transients/33681212,0.9475288391113281
90,33681228,76.66418887706601,-70.90243944808627,2,9.191518783569336,18.287384033203125,19.0046443939209,,,17.28830909729004,18.02021026611328,16.445238,1.347693,3921.1362,3691.469,4173.8105,16.258755259499768,17.28830909729004,3.478178361463611,http://gemtom.blackgem.org/transients/33681228,0.7319011688232422
91,33681239,76.81345515567806,-70.90149976620734,2,11.424107551574709,18.23849868774414,18.23849868774414,,,17.096826553344727,17.79818344116211,16.244839,1.053923,920.8676,894.1773,951.8016,31.961085861346657,17.096826553344727,6.4238530353504455,http://gemtom.blackgem.org/transients/33681239,0.7013568878173828
93,33681271,81.12161477118951,-70.8987862954715,1,13.006486892700195,18.308940887451172,18.75640106201172,,,16.4650936126709,17.5462589263916,16.14254,1.985982,3906.708,3424.2612,4369.9595,8.262059897961116,16.4650936126709,3.1834852406867267,http://gemtom.blackgem.org/transients/33681271,1.0811653137207031
94,33681273,76.8596497929732,-70.89865080483354,1,8.328895568847656,18.102279663085938,18.102279663085938,,,17.503211975097656,18.257099151611328,16.110792,0.719581,1777.8635,1692.5197,1907.8282,16.514568630592855,17.503211975097656,4.861299930756061,http://gemtom.blackgem.org/transients/33681273,0.7538871765136719
96,33681276,77.44428271644097,-70.89775284459847,1,7.874512195587158,,,,,16.89030647277832,17.737564086914062,15.940078,2.007832,6174.472,4373.6626,8059.094,3.3507458584088687,16.89030647277832,1.9870788723581594,http://gemtom.blackgem.org/transients/33681276,0.8472576141357422
97,33681285,77.12866752306803,-70.89726244094363,2,8.008949279785156,,,,,17.31700897216797,17.942712783813477,16.450102,1.927676,3576.4841,3340.4292,3847.876,14.095996269953812,17.31700897216797,3.682820506806145,http://gemtom.blackgem.org/transients/33681285,0.6257038116455078
98,33681290,76.80720743861686,-70.89690137703936,1,7.791812419891357,18.837688446044922,18.837688446044922,,,17.460695266723633,18.17225456237793,16.688646,1.775044,3236.8142,3083.1665,3391.8584,20.971163804427633,17.460695266723633,4.138057146531519,http://gemtom.blackgem.org/transients/33681290,0.7115592956542969
99,33681348,76.7925185581858,-70.89154305860913,1,12.112374305725098,17.948883056640625,18.68763542175293,,,16.64858055114746,17.268869400024414,15.954288,2.108621,3144.1086,2934.0374,3343.4712,15.358324593621736,16.64858055114746,3.466800307491745,http://gemtom.blackgem.org/transients/33681348,0.6202888488769531
100,33681386,80.91193237731275,-70.88813297732193,1,9.655073165893556,18.085962295532227,18.440628051757812,,,16.297969818115234,17.30484962463379,15.804369,2.032576,3222.8262,2830.0767,3527.2363,9.245590823105642,16.297969818115234,3.2631845720600534,http://gemtom.blackgem.org/transients/33681386,1.0068798065185547
101,33681404,76.67172929288233,-70.88673740589131,1,10.742027282714844,17.827682495117188,18.483518600463867,,,16.148696899414062,16.81529426574707,15.413821,1.998208,3490.2073,3395.2769,3602.802,33.63648349043075,16.148696899414062,2.699564887306659,http://gemtom.blackgem.org/transients/33681404,0.6665973663330078
102,33681430,76.73950745246455,-70.88419535385556,1,9.386754989624023,18.70634651184082,18.70634651184082,,,17.34490394592285,17.90907096862793,16.542128,1.73074,3919.5112,3597.2444,4058.3818,16.999320376096147,17.34490394592285,3.5759684510954948,http://gemtom.blackgem.org/transients/33681430,0.5641670227050781
103,33681436,77.02198246810346,-70.88379008422261,1,6.352065086364746,,,,,17.671466827392578,18.7027530670166,16.6313,1.126639,2736.7395,2604.4595,2837.2295,23.514537955922158,17.671466827392578,4.445132697452035,http://gemtom.blackgem.org/transients/33681436,1.0312862396240234
107,33681502,76.87206044131466,-70.87702479835863,2,6.084723949432373,,,,,17.503568649291992,18.303930282592773,16.649862,1.762988,3790.8933,3419.9385,4110.1416,10.984863151150732,17.503568649291992,3.7561541961391978,http://gemtom.blackgem.org/transients/33681502,0.8003616333007812
111,33681564,77.01990427074183,-70.87175763204259,1,7.3244309425354,18.40679168701172,18.40679168701172,,,17.105274200439453,17.85809326171875,15.97882,1.439219,4503.421,4297.6465,4718.6953,21.39144441214413,17.105274200439453,2.7111072567128094,http://gemtom.blackgem.org/transients/33681564,0.7528190612792969
116,33681682,76.94202870176792,-70.86023897914804,1,7.297849178314209,,,,,17.463642120361328,18.398494720458984,16.083225,0.783581,2078.5146,1952.533,2327.8425,11.07626958550209,17.463642120361328,4.494459602776644,http://gemtom.blackgem.org/transients/33681682,0.9348526000976562
118,33681687,76.89092705331711,-70.85990195377212,1,10.310140609741213,18.329021453857422,18.329021453857422,,,16.897554397583008,17.661376953125,15.800755,1.60948,20512.287,19086.82,23400.674,9.50995884422607,16.897554397583008,-0.7593154218097258,http://gemtom.blackgem.org/transients/33681687,0.7638225555419922
121,33681740,76.80937515288132,-70.85615388164426,2,7.396828651428223,19.054603576660156,19.054603576660156,,,17.665395736694336,18.226648330688477,16.891651,1.695275,2039.4725,1817.5103,2104.4724,14.21422898703347,17.665395736694336,5.3440617314078125,http://gemtom.blackgem.org/transients/33681740,0.5612525939941406
124,33681759,77.19407921724527,-70.85429658260377,2,6.20321798324585,,,,,17.33953285217285,18.145448684692383,16.379951,1.964447,3139.8103,2990.7854,3299.556,20.337495214894176,17.33953285217285,3.8954339509586706,http://gemtom.blackgem.org/transients/33681759,0.8059158325195312
