name,type,ra,dec,groups,Internal Name,Object Type
V404 Cyg,SIDEREAL,20:24:03,+33:52:02,Public,N/A,LMXB
SS 433,SIDEREAL,287.9565000,4.9827222,Public,N/A,LMXB
