mjd,mag,magerr,filter
60412.04053886491,14.166439056396484,0.002825019881129265,q
60412.04147619523,13.924829483032227,0.00848563201725483,u
60412.0424257164,14.216039657592773,0.004736373666673899,r
60412.05977764835,14.450533866882324,0.01419144682586193,z
60412.0607271105,14.341453552246094,0.005739206448197365,i
60417.090761788866,12.115968704223633,0.002312371740117669,q
60417.09105494108,12.009872436523438,0.002251295605674386,q
60417.09141199937,11.979681968688965,0.006177324336022139,u
60417.09170100669,12.029183387756348,0.006338934879750013,u
60417.09207171775,11.973329544067383,0.0033971001394093037,r
60417.09236801864,12.168543815612793,0.003454315010458231,r
60417.09273201639,12.021979331970215,0.0032481348607689142,g
60417.093025898896,12.094367980957031,0.003208147594705224,g
60417.09337969986,12.165624618530273,0.005636991932988167,z
60417.09367460688,12.208195686340332,0.005745587404817343,z
60417.09403978218,12.174783706665039,0.003645618911832571,i
60417.0943318381,12.067753791809082,0.0035419201012700796,i
60417.213250158835,12.080610275268555,0.002303549088537693,q
60417.21354177094,12.101293563842773,0.0023612473160028458,q
60417.21389703597,11.988664627075195,0.006612271536141634,u
60417.21419285025,11.99433708190918,0.00668308837339282,u
60417.21456758215,12.066469192504883,0.0035253388341516256,r
60417.215238807825,12.106502532958984,0.0033616535365581512,g
60417.2155267019,12.15611743927002,0.003470300929620862,g
60417.21588766959,12.074380874633789,0.0056958794593811035,z
60417.21618452637,12.194433212280273,0.0057342154905200005,z
60417.21654707765,12.136725425720215,0.0036914318334311247,i
60417.21683764957,12.192431449890137,0.0037714638747274876,i
60418.00747898957,12.029720306396484,0.002147987484931946,q
60418.00777023827,12.049562454223633,0.0021540934685617685,q
60418.008134129675,12.031135559082031,0.006080786231905222,u
60418.00842926752,12.095870971679688,0.00618846295401454,u
60418.00908905966,11.981241226196289,0.003176746191456914,r
60418.00946502491,12.031429290771484,0.0030969351064413786,g
60418.009759996195,12.1002779006958,0.0031330527272075415,g
60418.010113185854,12.029824256896973,0.005409241188317537,z
60418.01040883955,12.056933403015137,0.005400479305535555,z
60418.01078482527,12.130319595336914,0.003482884494587779,i
60418.01107520874,11.991610527038574,0.0034099563490599394,i
60418.06938227881,12.038385391235352,0.002134521957486868,q
60418.070042184336,12.017060279846191,0.006052517332136631,u
60418.07033910179,12.159740447998047,0.006194376386702061,u
60418.07070136348,11.955788612365723,0.0031382725574076176,r
60418.070993613976,12.1245756149292,0.003294041845947504,r
60418.071656919565,12.076790809631348,0.0030816250946372747,g
60418.07202162406,12.059508323669434,0.005376589484512806,z
60418.072316075384,12.03493595123291,0.00533766346052289,z
60418.07269274055,12.058732986450195,0.0034307290334254503,i
60418.07298944855,12.03040885925293,0.0034318824764341116,i
60418.194139421525,12.00395393371582,0.0021331789903342724,q
60418.19445656288,12.050239562988281,0.002161808777600527,q
60418.1948172642,12.086920738220215,0.00627135019749403,u
60418.19511314988,12.064923286437988,0.006245290860533714,u
60418.19548780143,12.031229972839355,0.0032155720982700586,r
60418.19578246742,12.089171409606934,0.003244284773245454,r
60418.19614863391,12.03650188446045,0.0031357761472463608,g
60418.19643907336,12.065743446350098,0.0031581122893840075,g
60418.196795765485,12.028878211975098,0.005304597783833742,z
60418.197089994035,12.013025283813477,0.005313605070114136,z
60418.19775215282,12.054006576538086,0.003455694764852524,i
60419.03051609894,12.005890846252441,0.003155119251459837,q
60419.03075372735,11.976618766784668,0.003085080999881029,q
60419.030996418594,12.113036155700684,0.0032289924565702677,q
60419.031235194816,11.968400001525879,0.003092751605436206,q
60419.03280799398,12.051142692565918,0.0048989285714924335,r
60419.03459786612,12.05504322052002,0.007815717719495296,z
60419.034835882674,11.975973129272461,0.007650909945368767,z
60419.03507105561,12.077022552490234,0.007770921103656292,z
60419.03530834798,12.033821105957031,0.007728505413979292,z
60419.03562616667,12.003033638000488,0.005000809673219919,i
60419.06686927086,12.0719633102417,0.0032066400162875652,q
60419.06734166285,11.97804069519043,0.0031006489880383015,q
60419.06891956269,12.0115327835083,0.0048287431709468365,r
60419.07065606644,12.135597229003906,0.00477703707292676,g
